First_Inspection_Date,Type,Location,Posting_Date,Removal_Start,Removal_End,Tents,Structures,Bedrolls,Vehicles,72_Tents,72_ Structures,72_Bedrolls,72_Vehicles,Latitude,Longitude
12/15/2019,Obstruction,4th Ave s and S Royal Brougham Way,12/15/2019,12/15/2019,12/15/2019,2,0,0,0,,,,,,
12/15/2019,Obstruction,4th & Yesler,"",12/15/2019,12/15/2019,2,0,4,0,,,,,,
12/15/2019,Obstruction,Discovery Park,"",12/15/2019,12/15/2019,3,0,0,0,,,,,,
12/15/2019,Obstruction,City Hall Park,"",12/15/2019,12/15/2019,0,0,1,0,,,,,,
12/15/2019,Obstruction,Utah ST Between Massachusetts,"",12/15/2019,12/15/2019,0,4,0,0,,,,,,
12/16/2019,Obstruction,5400 Block Of Shilshole Ave NW,"",12/16/2019,12/16/2019,4,0,0,0,,,,,,
12/16/2019,Obstruction,Nesbitt Ave,"",12/16/2019,12/16/2019,3,0,0,0,,,,,,
12/16/2019,Obstruction,University Platfield,"",12/16/2019,12/16/2019,6,0,0,0,,,,,,
12/17/2019,Obstruction,4th Ave & Yesler Way,"",12/17/2019,12/17/2019,0,0,2,0,,,,,,
12/17/2019,Obstruction,E Duwamish GB Emphasis Zone,"",12/17/2019,12/17/2019,3,0,0,0,,,,,,
12/17/2019,Obstruction,Jose Rizal Dog Park,"",12/17/2019,12/17/2019,2,0,0,0,,,,,,
12/17/2019,Obstruction,Sturgus Park,"",12/17/2019,12/17/2019,1,1,0,0,,,,,,
12/18/2019,Emphasis Zone,International District and I-5 Emphasis Zone,"",12/18/2019,12/18/2019,3,1,0,0,,,,,,
12/18/2019,Obstruction,4th Ave & Yesler Way,"",12/18/2019,12/18/2019,3,0,0,0,,,,,,
12/18/2019,Obstruction,6th Ave & Yesler Way,"",12/18/2019,12/18/2019,1,0,0,0,,,,,,
12/20/2019,Obstruction,Utah Ave S and S Massachusetts,12/20/2019,12/20/2019,12/20/2019,1,0,0,0,,,,,,
12/21/2019,Hazard,SR 509 SB and Meyers Way S,12/20/2019,12/21/2019,12/21/2019,2,1,0,0,,,,,,
12/21/2019,Hazard,Albro Pl S and Corigate Dr S,12/20/2019,12/21/2019,12/21/2019,1,0,0,0,,,,,,
12/21/2019,Obstruction,1st Ave & Main St,"",12/21/2019,12/21/2019,2,0,0,0,,,,,,
12/21/2019,Obstruction,Pioneer Square/Pergola,"",12/21/2019,12/21/2019,0,0,2,0,,,,,,
12/22/2019,Obstruction,Ravenna Park,"",12/22/2019,12/22/2019,2,0,0,0,,,,,,
12/22/2019,Obstruction,Burke Gilman Trail 8552 sandpoint Way,"",12/22/2019,12/22/2019,0,1,0,0,,,,,,
12/22/2019,Obstruction,Thornton Creek  95th & Sandpoint way,"",12/22/2019,12/22/2019,4,0,0,0,,,,,,
12/23/2019,Obstruction,4th & Yesler,"",12/23/2019,12/23/2019,3,0,7,0,,,,,,
12/24/2019,Obstruction,1437 S Donovan St,"",12/24/2019,12/24/2019,2,0,0,0,,,,,,
12/24/2019,Obstruction,4th Ave & Yesler Way,"",12/24/2019,12/24/2019,0,0,1,0,,,,,,
12/26/2019,Obstruction,4th Ave & Yesler Way,"",12/26/2019,12/26/2019,2,0,4,0,,,,,,
12/26/2019,Obstruction,Eastlake Ave & E Denny Way,"",12/26/2019,12/26/2010,0,0,1,0,,,,,,
12/27/2019,Hazard,3109 Rainier Ave S,"",12/27/2019,12/27/2019,0,1,0,0,,,,,,
12/27/2019,Obstruction,80 S Main St,"",12/27/2019,12/27/2019,3,0,0,0,,,,,,
12/27/2019,Obstruction,4th Ave & yesler Way,"",12/27/2019,12/27/2019,0,0,1,0,,,,,,
12/27/2019,Obstruction,4th Ave Emphasis Zone,"",12/27/2019,12/27/2019,1,1,1,0,,,,,,
12/27/2019,Obstruction,Plymouth Pillars Park,"",12/27/2019,12/27/2019,2,0,0,0,,,,,,
12/28/2019,Obstruction,2nd Ave Ext S & S Washington St,"",12/28/2019,12/28/2019,0,0,2,0,,,,,,
12/28/2019,Obstruction,6th & 7th Ave from Columbia St to Jefferson St,"",12/28/2019,12/28/2019,0,1,3,0,,,,,,
12/28/2019,Obstruction,S Atlantic St & Colorado Ave S,"",12/28/2019,12/28/2019,1,0,0,0,,,,,,
12/29/2019,Obstruction,Albert Davis Park,"",12/29/2019,12/29/2019,0,0,0,0,,,,,,
12/29/2019,Obstruction,Nesbitt Ave Btwn 88th & 90th,"",12/29/2019,12/29/2019,6,0,0,0,,,,,,
12/29/2019,Obstruction,4th & Yesler,"",12/29/2019,12/29/2019,2,0,3,0,,,,,,
12/29/2019,Obstruction,Pioneer Square,"",12/29/2019,12/29/2019,0,0,2,0,,,,,,
12/30/2019,Obstruction,4th Ave & Yesler Way,"",12/30/2019,12/30/2019,0,0,1,0,,,,,,
