FID,Shape *,OBJECTID_1,Join_Count,TARGET_FID,OBJECTID,Cleanup,Site_Name,Property_O,Precinct,Type,Complaint,Inspect,Post,Outreach,Cleanup_1,Latitude,Longitude,OBJECTID_2,AREA,PERIMETER,HOODS_,HOODS_ID,S_HOOD,L_HOOD,L_HOODID,SYMBOL,SYMBOL2
2756,Point,2757,1,2756,2757,69-03,S King St (south side under I-5),WSDOT, ,Camping,2/28/2013,3/25/2013,<Null>,3/29/2013,3/29/2013,47.598292,-122.318537,61,6169376,11772.387,63,164,International District,DOWNTOWN,13,11,94
2607,Point,2608,1,2607,2608,638-01,I-5 SB off-ramp & S Albro St,WSDOT,South,Camping,10/25/2013,11/6/2013,<Null>,11/6/2013,11/6/2013,47.548349,-122.313623,80,52620472,40522.184,82,172,Mid-Beacon Hill,BEACON HILL,17,5,95
2587,Point,2588,1,2587,2588,632-01,Under 520 and Boyer,WSDOT,North,Camping,10/11/2013,10/11/2013,10/15/2013,10/18/2013,10/18/2013,47.642723,-122.316027,98,19763186,34138.93,100,146,Montlake,CAPITOL HILL,11,3,9
722,Point,723,1,722,723,2124-01,Under I-5 @ S Dearborn St (Sidewalk),SDOT,East,Encampment,10/28/2015,11/12/2015,11/5/2015,11/12/2015,11/12/2015,47.595686,-122.319924,79,48475916,33865.488,81,166,North Beacon Hill,BEACON HILL,17,5,9
418,Point,419,1,418,419,131-09,Mineral Springs Park,Parks,North,Camping,7/6/2015,7/7/2015,<Null>,7/7/2015,7/7/2015,47.705003,-122.339329,115,21704706,20132.898,117,110,North College Park,NORTHGATE,2,10,9
1766,Point,1767,1,1766,1767,364-03,Longfellow Green Space North,Parks,Southwest,Camping,10/27/2014,9/9/2016,<Null>,9/9/2016,9/9/2016,47.566831,-122.368094,90,29454656,23549.932,92,174,North Delridge,DELRIDGE,20,10,23
3073,Point,3074,1,3073,3074,834-01,Spokane St Bridge - Eastbound,SDOT,Southwest,Encampment,10/1/2014,10/7/2014,10/2/2014,10/9/2014,10/9/2014,47.571347,-122.363312,90,29454656,23549.932,92,174,North Delridge,DELRIDGE,20,10,23
3076,Point,3077,1,3076,3077,834-04,Spokane St Bridge - Eastbound,SDOT,Southwest,Encampment,8/5/2015,8/6/2015,8/6/2015,8/17/2015,8/17/2015,47.571347,-122.363312,90,29454656,23549.932,92,174,North Delridge,DELRIDGE,20,10,23
3186,Point,3187,1,3186,3187,882-02,Ballard Bridge Pedestrian Underpass,SDOT,West,Encampment,3/27/2015,3/27/2015,3/26/2015,3/30/2015,3/30/2015,47.654299,-122.375954,46,29604288,26753.555,48,140,North Queen Anne,QUEEN ANNE,10,7,19
431,Point,432,1,431,432,132-03,6th Ave &  James St,SDOT,West,Encampment,9/22/2011,9/23/2011,9/23/2011,10/4/2011,10/4/2011,47.603462,-122.32743,65,11474029,19289.813,67,163,Pioneer Square,DOWNTOWN,13,11,33
