Log Number ,Date of Collection,Camp Location,"Name  (None, Found in Debris-FID, Self Packed )",Description,Bike Count,Disposed after ,Target Disposal Date,Disposed (Yes/No = Delivered),
2052,12/4/2024,Ballard Commons Park,T1-RM-1204,"Brown wicker basket w/ Black hoody, Green Spyder coat, Nautical Blue jeans, Nike Air Blue size 11, Nike shoes Brown size 10. Blue tent w/poles, Brown bag w/hygiene items and feminine products, Green black Champion backpack w/red flip flops, hygiene items, Coleman lantern in Black plastic case, Orange Kirkland jacket size M, Brown Calvin Klein jacket, Brown laundry coat, Black blue Seaskin shirt, Black sleeping bag, Gray pink Northside shoes, Blue black backpack w/2 empty tote bags, pack of 4-tote bags empty, a dozen markers.",,70 Days,2/12/2025,,
2053,12/9/2024,Roosevelt,T1-KJ-1209,"Battery charger w/broken wire, Sony playstation (console only), various cords and cables, Purple gold crochet scarf, DVDs and misc comic books, Tennis shoes, Slippers, Blue grey tent.",,70 Days,2/17/2025,,
2054,12/13/2024,Tashkent Park,T1-KJ-1213,"Sleeping pad, set of camping dishes, REI Tent",,70 Days,2/21/2025,,
1673,,SKIPPED NUMBER,,,,70 Days,,,
1677,,SKIPPED NUMBER,,,,70 Days,,,
1678,,SKIPPED NUMBER,,,,70 Days,,,
1679,,SKIPPED NUMBER,,,,70 Days,,,
1680,,SKIPPED NUMBER,,,,70 Days,,,
1738,,SKIPPED NUMBER,,,,70 Days,3/10/1900,,
1907,,SKIPPED NUMBER,,,,70 Days,3/10/1900,N/A,
1931,,SKIPPED NUMBER,,,,70 Days,3/10/1900,N/A,
1960,,SKIPPED NUMBER,,,,70 Days,3/10/1900,N/A,
1962,,SKIPPED NUMBER,,,,70 Days,3/10/1900,N/A,
1966,,SKIPPED NUMBER,,,,70 Days,3/10/1900,N/A,
1982,,SKIPPED NUMBER,,,,70 Days,3/10/1900,N/A,
2046,,,,,,70 Days,3/10/1900,yes,
